
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
14:CF:92:8F:B3:46, 2014-09-15 10:12:48, 2014-09-15 10:15:03,  1,  54, WPA2WPA , CCMP,PSK, -87,       27,        0,   0.  0.  0.  0,  14, TP-LINK_8FB346, 
0C:DA:41:07:EA:71, 2014-09-15 10:12:56, 2014-09-15 10:15:00, 108,  -1,     ,       ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
0C:DA:41:07:41:51, 2014-09-15 10:13:04, 2014-09-15 10:14:05,  1,  54, OPN ,       ,   , -88,        2,        0,   0.  0.  0.  0,   7, xd-wlan, 
3A:E4:00:F9:35:90, 2014-09-15 10:12:47, 2014-09-15 10:15:03,  1,  54, WPA2, CCMP,PSK, -88,       39,        0,   0.  0.  0.  0,   8, AMALIANG, 
0C:DA:41:07:41:50, 2014-09-15 10:13:02, 2014-09-15 10:14:00,  1,  54, OPN ,       ,   , -87,        1,        0,   0.  0.  0.  0,  10, stu-xdwlan, 
00:87:36:27:DC:ED, 2014-09-15 10:12:42, 2014-09-15 10:15:02,  1,  54, WPA2, CCMP,PSK, -86,       26,        2,   0.  0.  0.  0,  12, 360WiFi-DCED, 
14:E6:E4:5C:F5:DE, 2014-09-15 10:12:59, 2014-09-15 10:14:42,  1,  54, WPA2, CCMP,PSK, -86,        8,        0,   0.  0.  0.  0,   3, ice, 
0C:72:2C:ED:16:2A, 2014-09-15 10:12:40, 2014-09-15 10:15:00,  1,  54, WPA2, CCMP,PSK, -86,      139,        7,   0.  0.  0.  0,   3, 320, 
00:23:89:9E:FA:90, 2014-09-15 10:12:51, 2014-09-15 10:14:47,  1,  54, OPN ,       ,   , -84,       43,        0,   0.  0.  0.  0,   0, , 
0C:72:2C:4B:4C:18, 2014-09-15 10:12:41, 2014-09-15 10:15:00,  1,  54, WPA2WPA , CCMP,PSK, -86,      216,       36,   0.  0.  0.  0,   5, CVLab, 
00:23:CD:68:0F:E4, 2014-09-15 10:12:41, 2014-09-15 10:15:03,  1,  54, WPA2, CCMP,PSK, -83,      300,        4,   0.  0.  0.  0,   7, Telecom, 
00:0C:43:30:52:20, 2014-09-15 10:12:41, 2014-09-15 10:15:03,  1,  54, WPA2, TKIP,PSK, -81,      191,      172,   0.  0.  0.  0,   6, LWS161, 
0C:DA:41:E6:7A:D0, 2014-09-15 10:12:41, 2014-09-15 10:15:03,  1,  54, OPN ,       ,   , -82,      438,      101, 169.254. 41.219,  10, stu-xdwlan, 
0C:DA:41:E6:7A:D1, 2014-09-15 10:12:40, 2014-09-15 10:15:03,  1,  54, OPN ,       ,   , -83,      424,        0,   0.  0.  0.  0,   7, xd-wlan, 
0C:72:2C:86:4A:34, 2014-09-15 10:12:40, 2014-09-15 10:15:03,  1,  54, WPA2WPA , CCMP,PSK, -87,      317,       36,   0.  0.  0.  0,   5, Qwifi, 
38:22:D6:48:62:B1, 2014-09-15 10:12:40, 2014-09-15 10:15:03,  1,  54, OPN ,       ,   , -80,      584,        2,   0.  0.  0.  0,   7, xd-wlan, 
38:22:D6:48:62:B0, 2014-09-15 10:12:40, 2014-09-15 10:15:03,  1,  54, OPN ,       ,   , -81,      538,     1077, 115.155. 11.162,  10, stu-xdwlan, 
F4:EC:38:45:E9:84, 2014-09-15 10:12:41, 2014-09-15 10:15:01,  4,  54, WPA2WPA , CCMP,PSK, -82,       24,        2,   0.  0.  0.  0,  14, TP-LINK_45E984, 
0C:DA:41:07:77:50, 2014-09-15 10:12:40, 2014-09-15 10:15:03,  1,  54, OPN ,       ,   , -80,      595,        0,   0.  0.  0.  0,  10, stu-xdwlan, 
0C:DA:41:E6:8D:31, 2014-09-15 10:12:40, 2014-09-15 10:15:03,  1,  54, OPN ,       ,   , -77,      748,      760,  10.168.  5.126,   7, xd-wlan, 
38:83:45:C6:38:CA, 2014-09-15 10:12:41, 2014-09-15 10:15:03,  1,  54, WPA2, CCMP,PSK, -80,      557,       49,   0.  0.  0.  0,  13, zhuzhunettest, 
0C:DA:41:E6:8D:30, 2014-09-15 10:12:40, 2014-09-15 10:15:03,  1,  54, OPN ,       ,   , -77,      521,     2245, 169.254.248.175,  10, stu-xdwlan, 
0C:DA:41:07:77:51, 2014-09-15 10:12:40, 2014-09-15 10:15:03,  1,  54, OPN ,       ,   , -81,      548,        0,   0.  0.  0.  0,   7, xd-wlan, 
8C:BE:BE:49:9D:7A, 2014-09-15 10:12:40, 2014-09-15 10:15:03,  1,  54, WPA2, CCMP,PSK, -78,      506,       11,   0.  0.  0.  0,   9, Landowner, 
64:D9:54:06:B6:D6, 2014-09-15 10:12:45, 2014-09-15 10:15:01,  1,  54, WPA2, CCMP,PSK, -76,        5,       32,   0.  0.  0.  0,   8, SuperZtw, 
00:36:76:0D:FF:0D, 2014-09-15 10:12:40, 2014-09-15 10:15:03,  1,  54, OPN ,       ,   , -71,      367,       40, 192.168.253.  1,  12, 360WiFi-FF0D, 
9C:D6:43:39:26:21, 2014-09-15 10:12:40, 2014-09-15 10:15:03,  2,  54, OPN ,       ,   , -61,       24,     2309, 219.245. 81.121,  14, D-Link_DIR-612, 
0C:DA:41:09:0F:31, 2014-09-15 10:12:40, 2014-09-15 10:15:03,  1,  54, OPN ,       ,   , -58,     1293,     1774,  10.168.  0.179,   7, xd-wlan, 
0C:DA:41:09:0F:30, 2014-09-15 10:12:40, 2014-09-15 10:15:03,  1,  54, OPN ,       ,   , -56,     1334,      670,  10.168.  8. 94,  10, stu-xdwlan, 
14:CF:92:09:2E:05, 2014-09-15 10:12:40, 2014-09-15 10:15:03,  1,  54, WPA2, CCMP,PSK, -51,     1321,       51,   0.  0.  0.  0,   7, ssjiang, 
08:10:76:52:27:DB, 2014-09-15 10:12:40, 2014-09-15 10:15:03,  1,  54, WPA2, CCMP,PSK, -48,     1376,     4298,   0.  0.  0.  0,   8, xueerfei, 
14:CF:92:09:27:D1, 2014-09-15 10:12:40, 2014-09-15 10:15:03,  1,  54, WPA2, CCMP,PSK, -49,     1353,       10,   0.  0.  0.  0,   4, azhu, 
0C:72:2C:ED:16:26, 2014-09-15 10:12:40, 2014-09-15 10:15:03,  1,  54, WPA2, CCMP TKIP,PSK, -37,     1396,        0,   0.  0.  0.  0,   6, shenyl, 
14:CF:92:09:27:BC, 2014-09-15 10:12:40, 2014-09-15 10:15:03,  1,  54, WPA2, CCMP,PSK, -50,     1363,      141,   0.  0.  0.  0,   4, LQQQ, 
0C:DA:41:09:04:F0, 2014-09-15 10:12:57, 2014-09-15 10:14:51, 108,  -1, OPN ,       ,   ,  -1,        0,       14,  10.168.  8.131,   0, , 
2A:95:DE:25:E9:85, 2014-09-15 10:12:40, 2014-09-15 10:15:03,  1,  54, OPN ,       ,   ,  -1,      650,      196,   0.  0.  0.  0,   4, mesh, 
22:22:22:22:22:22, 2014-09-15 10:12:40, 2014-09-15 10:15:03,  1,  54, OPN ,       ,   ,  -1,      322,        0,   0.  0.  0.  0,   3, AH1, 
64:D9:54:06:AD:22, 2014-09-15 10:14:45, 2014-09-15 10:14:46,  1,  54, WPA2, CCMP,PSK, -87,        2,        0,   0.  0.  0.  0,   2, zl, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
C4:46:19:40:4C:3C, 2014-09-15 10:12:41, 2014-09-15 10:13:12,  -1,       16, 0C:DA:41:E6:8D:30,
28:E1:4C:BA:CD:3B, 2014-09-15 10:13:08, 2014-09-15 10:13:11, -46,        8, (not associated) , xd-wlan
14:E6:E4:1D:6E:7C, 2014-09-15 10:13:12, 2014-09-15 10:13:12, -88,        1, (not associated) , AirPort
00:1E:65:D6:7E:D8, 2014-09-15 10:13:11, 2014-09-15 10:14:20, -86,        2, (not associated) ,
64:09:80:F7:24:C8, 2014-09-15 10:12:53, 2014-09-15 10:12:54, -76,       11, 8C:BE:BE:49:9D:7A,
00:23:89:4A:A3:70, 2014-09-15 10:12:46, 2014-09-15 10:15:03, -79,        4, (not associated) ,
98:0C:82:FA:CD:91, 2014-09-15 10:12:53, 2014-09-15 10:12:54, -80,        3, (not associated) , stu-xdwlan
40:F3:08:94:E6:54, 2014-09-15 10:12:41, 2014-09-15 10:12:53, -80,        3, (not associated) , stu-xdwlan
00:15:AF:DE:8E:9A, 2014-09-15 10:12:53, 2014-09-15 10:12:53, -86,        1, (not associated) ,
00:37:6D:FB:E9:11, 2014-09-15 10:12:48, 2014-09-15 10:14:24, -86,        2, 38:83:45:C6:38:CA,
48:D2:24:BD:E2:6D, 2014-09-15 10:12:47, 2014-09-15 10:12:47, -88,        1, (not associated) ,
B0:DF:3A:B5:22:8B, 2014-09-15 10:12:48, 2014-09-15 10:12:48, -88,        1, (not associated) ,
9C:C1:72:38:5D:D0, 2014-09-15 10:12:44, 2014-09-15 10:12:46,  -1,       56, 38:22:D6:48:62:B0,
5C:95:AE:BB:48:C8, 2014-09-15 10:12:55, 2014-09-15 10:14:26, -47,        8, 14:CF:92:09:27:D1,
AC:F7:F3:1E:F9:E0, 2014-09-15 10:12:57, 2014-09-15 10:12:57,  -1,        1, 00:0C:43:30:52:20,
48:5D:60:37:60:BA, 2014-09-15 10:13:07, 2014-09-15 10:13:08, -78,        2, (not associated) ,
88:E3:AB:CA:9F:A4, 2014-09-15 10:13:33, 2014-09-15 10:14:01, -89,        2, 0C:72:2C:4B:4C:18,
20:C9:D0:D3:BD:59, 2014-09-15 10:12:57, 2014-09-15 10:15:00, -88,       26, 00:0C:43:30:52:20,
F8:A4:5F:DF:5E:33, 2014-09-15 10:13:42, 2014-09-15 10:13:42, -89,        1, 38:83:45:C6:38:CA,
14:CF:92:AF:D4:B1, 2014-09-15 10:13:13, 2014-09-15 10:13:33, -88,        2, 00:36:76:0D:FF:0D,
F0:7B:CB:39:BB:6B, 2014-09-15 10:13:15, 2014-09-15 10:13:15, -88,        1, (not associated) , 123
00:26:C7:22:D2:44, 2014-09-15 10:13:20, 2014-09-15 10:13:20, -88,        1, (not associated) , 360WiFi-DCED
20:08:ED:95:64:5F, 2014-09-15 10:12:44, 2014-09-15 10:13:56, -88,        4, 38:83:45:C6:38:CA,
8C:BE:BE:8B:27:60, 2014-09-15 10:12:42, 2014-09-15 10:13:32, -87,        4, F4:EC:38:45:E9:84,
54:AE:27:14:74:F9, 2014-09-15 10:13:36, 2014-09-15 10:13:36, -87,        1, (not associated) ,
60:E7:01:33:20:41, 2014-09-15 10:14:10, 2014-09-15 10:14:53, -83,        7, 00:23:CD:68:0F:E4,
00:23:89:9E:FA:90, 2014-09-15 10:13:47, 2014-09-15 10:13:50, -86,        2, (not associated) ,
00:08:22:B9:91:44, 2014-09-15 10:13:00, 2014-09-15 10:13:40, -86,        3, (not associated) ,
68:DF:DD:91:EF:5B, 2014-09-15 10:13:12, 2014-09-15 10:14:33, -85,        3, (not associated) ,
8C:3A:E3:73:4A:2D, 2014-09-15 10:14:05, 2014-09-15 10:14:05, -86,        2, (not associated) ,
AC:22:0B:47:93:C4, 2014-09-15 10:12:41, 2014-09-15 10:15:02, -83,      406, (not associated) , Tenda,cqtsy,ChinaNet-AQfw,YiWanNianQian,TP-LINK_5CE76C,RJ,000000,ChinaNet-Xz0d,ChinaNet-Edxs,ChinaNet-ecyC
0C:82:68:1D:F5:92, 2014-09-15 10:12:43, 2014-09-15 10:14:52, -85,       15, 38:83:45:C6:38:CA, zhuzhunettest
60:21:C0:B0:BA:24, 2014-09-15 10:12:45, 2014-09-15 10:14:52, -85,       11, 0C:DA:41:E6:8D:30, stu-xdwlan
78:E4:00:2D:49:97, 2014-09-15 10:13:26, 2014-09-15 10:13:26, -85,        1, (not associated) ,
20:08:ED:55:E1:66, 2014-09-15 10:12:45, 2014-09-15 10:14:56, -87,       21, (not associated) ,
50:3C:C4:1D:2C:D1, 2014-09-15 10:14:09, 2014-09-15 10:14:29, -83,        2, (not associated) ,
00:26:C6:37:00:18, 2014-09-15 10:12:54, 2014-09-15 10:15:01, -86,       13, (not associated) , WXYZ
00:23:89:4A:7D:70, 2014-09-15 10:13:38, 2014-09-15 10:13:40, -83,        2, (not associated) ,
1C:4B:D6:FF:2A:5C, 2014-09-15 10:12:50, 2014-09-15 10:14:48, -83,       22, 38:83:45:C6:38:CA, zhuzhunettest
14:CF:92:AE:1E:52, 2014-09-15 10:13:17, 2014-09-15 10:14:18, -42,       14, (not associated) ,
14:F6:5A:A9:BF:43, 2014-09-15 10:13:27, 2014-09-15 10:13:37, -83,       11, (not associated) , buttonsunSYS,Buttonsun,ysl4,ButtonSYS
00:26:C7:3E:B5:9E, 2014-09-15 10:12:40, 2014-09-15 10:15:03, -85,      656, 22:22:22:22:22:22,
90:94:E4:F8:EE:50, 2014-09-15 10:12:41, 2014-09-15 10:14:48, -85,       10, 38:83:45:C6:38:CA,
54:E4:3A:5F:01:7C, 2014-09-15 10:12:41, 2014-09-15 10:14:43, -83,        3, 0C:DA:41:E6:7A:D0, stu-xdwlan
F8:01:13:47:0B:3D, 2014-09-15 10:12:56, 2014-09-15 10:15:00, -85,        5, 0C:DA:41:07:EA:71,
08:57:00:39:CC:9B, 2014-09-15 10:12:48, 2014-09-15 10:13:49, -82,        5, (not associated) ,
BC:F5:AC:DF:E5:1B, 2014-09-15 10:12:56, 2014-09-15 10:14:32, -53,       36, (not associated) , zhangkun
18:DC:56:D0:8E:5B, 2014-09-15 10:13:24, 2014-09-15 10:14:54, -79,       49, (not associated) , 360HJ-SCH-N7191
14:CF:92:18:08:0D, 2014-09-15 10:13:13, 2014-09-15 10:14:15, -74,       41, (not associated) , xiaoer
84:51:81:46:5A:61, 2014-09-15 10:14:14, 2014-09-15 10:14:14, -82,        2, (not associated) ,
08:7A:4C:5E:D1:BF, 2014-09-15 10:12:41, 2014-09-15 10:15:01, -85,       18, F4:EC:38:45:E9:84,
14:36:05:C5:A3:D1, 2014-09-15 10:14:01, 2014-09-15 10:14:01, -81,        3, (not associated) ,
A8:96:8A:CB:2C:49, 2014-09-15 10:13:56, 2014-09-15 10:14:13, -81,       19, (not associated) ,
3A:83:45:C6:38:CA, 2014-09-15 10:12:40, 2014-09-15 10:15:03, -79,     1190, 2A:95:DE:25:E9:85,
8C:BE:BE:65:9C:5F, 2014-09-15 10:12:40, 2014-09-15 10:13:51, -79,       16, 0C:DA:41:09:0F:31,
CC:3A:61:A9:A1:DE, 2014-09-15 10:13:41, 2014-09-15 10:13:41, -78,        1, (not associated) ,
